id,label,text,pii_types
0,world,[NAME_F] files complaint against [ORG_C] over contract dispute.,"NAME,ORG"
1,sports,[ORG_A] opens new office at [ADDR_C] after funding round.,"ADDR,ORG"
2,world,[ORG_A] hires [NAME_A] to lead AI lab in Europe.,"NAME,ORG"
3,sports,[ORG_A] opens new office at [ADDR_C] after funding round.,"ADDR,ORG"
4,sports,[ORG_D] hires [NAME_B] to lead AI lab in Europe.,"NAME,ORG"
5,business,[NAME_B] files complaint against [ORG_D] over contract dispute.,"NAME,ORG"
6,business,[ORG_C] opens new office at [ADDR_A] after funding round.,"ADDR,ORG"
7,world,[ORG_C] hires [NAME_A] to lead AI lab in Europe.,"NAME,ORG"
8,business,[NAME_F] files complaint against [ORG_D] over contract dispute.,"NAME,ORG"
9,world,[ORG_C] hires [NAME_A] to lead AI lab in Europe.,"NAME,ORG"
10,business,[ORG_A] opens new office at [ADDR_A] after funding round.,"ADDR,ORG"
11,sports,Police confirm [NAME_A] located near [ADDR_A] after incident.,"ADDR,NAME"
12,sci/tech,Police confirm [NAME_D] located near [ADDR_A] after incident.,"ADDR,NAME"
13,business,Police confirm [NAME_B] located near [ADDR_C] after incident.,"ADDR,NAME"
14,world,[ORG_B] opens new office at [ADDR_A] after funding round.,"ADDR,ORG"
15,sci/tech,[ORG_B] hires [NAME_C] to lead AI lab in Europe.,"NAME,ORG"
16,business,[NAME_B] files complaint against [ORG_A] over contract dispute.,"NAME,ORG"
17,sci/tech,Police confirm [NAME_A] located near [ADDR_C] after incident.,"ADDR,NAME"
18,business,[ORG_D] opens new office at [ADDR_B] after funding round.,"ADDR,ORG"
19,sci/tech,[ORG_B] opens new office at [ADDR_A] after funding round.,"ADDR,ORG"
20,business,[ORG_D] hires [NAME_E] to lead AI lab in Europe.,"NAME,ORG"
21,sports,[ORG_D] opens new office at [ADDR_A] after funding round.,"ADDR,ORG"
22,world,[NAME_B] files complaint against [ORG_B] over contract dispute.,"NAME,ORG"
23,sci/tech,[NAME_D] files complaint against [ORG_D] over contract dispute.,"NAME,ORG"
24,sci/tech,Police confirm [NAME_E] located near [ADDR_C] after incident.,"ADDR,NAME"
25,world,Police confirm [NAME_F] located near [ADDR_A] after incident.,"ADDR,NAME"
26,business,[ORG_D] hires [NAME_B] to lead AI lab in Europe.,"NAME,ORG"
27,business,[ORG_A] opens new office at [ADDR_C] after funding round.,"ADDR,ORG"
28,business,[ORG_C] opens new office at [ADDR_A] after funding round.,"ADDR,ORG"
29,world,Police confirm [NAME_D] located near [ADDR_A] after incident.,"ADDR,NAME"
30,business,Police confirm [NAME_B] located near [ADDR_A] after incident.,"ADDR,NAME"
31,world,[NAME_F] files complaint against [ORG_D] over contract dispute.,"NAME,ORG"
32,sports,[ORG_D] opens new office at [ADDR_C] after funding round.,"ADDR,ORG"
33,sports,Police confirm [NAME_E] located near [ADDR_A] after incident.,"ADDR,NAME"
34,sports,Police confirm [NAME_D] located near [ADDR_B] after incident.,"ADDR,NAME"
35,sci/tech,[NAME_B] files complaint against [ORG_B] over contract dispute.,"NAME,ORG"
36,business,[NAME_E] files complaint against [ORG_B] over contract dispute.,"NAME,ORG"
37,sports,[NAME_A] files complaint against [ORG_A] over contract dispute.,"NAME,ORG"
38,world,[NAME_C] files complaint against [ORG_A] over contract dispute.,"NAME,ORG"
39,sports,Police confirm [NAME_F] located near [ADDR_A] after incident.,"ADDR,NAME"
40,sports,[ORG_D] hires [NAME_B] to lead AI lab in Europe.,"NAME,ORG"
41,sports,[NAME_A] files complaint against [ORG_D] over contract dispute.,"NAME,ORG"
42,sci/tech,[ORG_A] hires [NAME_D] to lead AI lab in Europe.,"NAME,ORG"
43,world,[NAME_D] files complaint against [ORG_C] over contract dispute.,"NAME,ORG"
44,sports,[ORG_D] opens new office at [ADDR_A] after funding round.,"ADDR,ORG"
45,sci/tech,[ORG_D] opens new office at [ADDR_A] after funding round.,"ADDR,ORG"
46,world,[ORG_A] hires [NAME_E] to lead AI lab in Europe.,"NAME,ORG"
47,world,[NAME_B] files complaint against [ORG_B] over contract dispute.,"NAME,ORG"
48,sci/tech,[ORG_D] hires [NAME_B] to lead AI lab in Europe.,"NAME,ORG"
49,sports,[ORG_D] hires [NAME_A] to lead AI lab in Europe.,"NAME,ORG"
50,sci/tech,Police confirm [NAME_D] located near [ADDR_A] after incident.,"ADDR,NAME"
51,sports,Police confirm [NAME_B] located near [ADDR_C] after incident.,"ADDR,NAME"
52,world,Police confirm [NAME_A] located near [ADDR_C] after incident.,"ADDR,NAME"
53,sci/tech,[ORG_A] opens new office at [ADDR_A] after funding round.,"ADDR,ORG"
54,world,[NAME_F] files complaint against [ORG_B] over contract dispute.,"NAME,ORG"
55,world,[ORG_A] opens new office at [ADDR_C] after funding round.,"ADDR,ORG"
56,world,[ORG_C] hires [NAME_F] to lead AI lab in Europe.,"NAME,ORG"
57,sports,Police confirm [NAME_B] located near [ADDR_B] after incident.,"ADDR,NAME"
58,sports,Police confirm [NAME_D] located near [ADDR_A] after incident.,"ADDR,NAME"
59,world,[ORG_A] hires [NAME_E] to lead AI lab in Europe.,"NAME,ORG"
